unit,nomor,supplier,tgl_bayar,konfir,transfer,cn,memo,outstanding,status
KDR,BYP/06/26/00751,19B005,2026-06-12,61250000.00,.00,.00,.00,61250000.00,BELUM BAYAR
KDR,BYP/06/26/00754,19B005,2026-06-12,62300000.00,.00,.00,.00,62300000.00,BELUM BAYAR
KDR,BYP/06/26/00752,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
KDR,BYP/06/26/00753,19B005,2026-06-12,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
KDR,BYP/06/26/00755,19B005,2026-06-12,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
KDR,BYP/06/26/00820,19B005,2026-06-13,61250000.00,.00,.00,.00,61250000.00,BELUM BAYAR
KDR,BYP/06/26/00821,19B005,2026-06-13,71200000.00,.00,.00,.00,71200000.00,BELUM BAYAR
KDR,BYP/06/26/00823,19B005,2026-06-13,62075000.00,.00,.00,.00,62075000.00,BELUM BAYAR
KDR,BYP/06/26/00824,19B005,2026-06-13,62300000.00,.00,.00,.00,62300000.00,BELUM BAYAR
KDR,BYP/06/26/00822,19B005,2026-06-13,62475000.00,.00,.00,.00,62475000.00,BELUM BAYAR
KDR,BYP/06/26/00825,19B005,2026-06-13,62300000.00,.00,.00,.00,62300000.00,BELUM BAYAR
LMG,BYP/12/25/01071,19B005,2025-11-27,65600000.00,64000000.00,.00,.00,1600000.00,PARSIAL/BEDA
LMG,BYP/11/25/01639,19B005,2025-11-27,64200000.00,.00,.00,.00,64200000.00,BELUM BAYAR
LMG,BYP/11/25/01637,19B005,2025-11-29,64825000.00,.00,.00,.00,64825000.00,BELUM BAYAR
LMG,BYP/06/26/00685,19B005,2026-06-11,71337500.00,.00,.00,.00,71337500.00,BELUM BAYAR
LMG,BYP/06/26/00683,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00684,19B005,2026-06-11,70800000.00,.00,.00,.00,70800000.00,BELUM BAYAR
LMG,BYP/06/26/00686,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00687,19B005,2026-06-11,71037500.00,.00,.00,.00,71037500.00,BELUM BAYAR
LMG,BYP/06/26/00688,19B005,2026-06-11,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
LMG,BYP/06/26/00760,19B005,2026-06-12,70000000.00,.00,.00,.00,70000000.00,BELUM BAYAR
